netid,replicate_num,max_subset_size,net_hwcd_default,net_hwcd_outgroup,constraint_diffs_default,constraint_diffs_outgroup,gauss_sigmas,gauss_error_level
n100r5,1,25,16.0,10.0,14.0,10.0,0.8737252486733185,low
n100r5,1,25,-1.0,-1.0,14.0,28.0,3.494900994693274,high
n100r5,1,25,-1.0,-1.0,20.0,20.0,3.494900994693274,high
n100r5,1,25,4.0,4.0,4.0,4.0,1.747450497346637,med
n100r5,1,25,6.0,2.0,6.0,2.0,0.8737252486733185,low
n100r5,1,25,-1.0,-1.0,16.0,20.0,3.494900994693274,high
n100r5,1,25,-1.0,-1.0,6.0,6.0,3.494900994693274,high
n100r5,1,25,6.0,6.0,4.0,4.0,1.747450497346637,med
n100r5,1,25,-1.0,-1.0,16.0,16.0,3.494900994693274,high
n100r5,1,25,24.0,18.0,16.0,16.0,0.8737252486733185,low
n100r5,1,25,20.0,18.0,18.0,18.0,0.8737252486733185,low
n100r5,1,25,-1.0,-1.0,12.0,18.0,3.494900994693274,high
n100r5,1,25,10.0,18.0,10.0,12.0,0.8737252486733185,low
n100r5,1,25,8.0,22.0,6.0,6.0,0.8737252486733185,low
n100r5,1,25,24.0,8.0,4.0,4.0,1.747450497346637,med
n100r5,1,25,-1.0,-1.0,2.0,2.0,3.494900994693274,high
n100r5,1,25,24.0,12.0,4.0,4.0,1.747450497346637,med
n100r5,1,25,4.0,4.0,2.0,2.0,0.8737252486733185,low
n100r5,1,25,-1.0,-1.0,12.0,12.0,3.494900994693274,high
n100r5,1,25,12.0,18.0,10.0,14.0,1.747450497346637,med
n100r5,1,25,18.0,20.0,18.0,18.0,0.8737252486733185,low
n100r5,1,25,-1.0,-1.0,6.0,6.0,3.494900994693274,high
n100r5,1,25,0.0,0.0,0.0,0.0,0.8737252486733185,low
n100r5,1,25,-1.0,-1.0,6.0,8.0,3.494900994693274,high
n100r5,1,25,16.0,4.0,2.0,2.0,1.747450497346637,med
n100r5,1,25,-1.0,-1.0,4.0,2.0,3.494900994693274,high
n100r5,1,25,-1.0,-1.0,14.0,14.0,3.494900994693274,high
n100r5,1,25,4.0,4.0,2.0,2.0,1.747450497346637,med
