nniMoves,edgeheights,constraintdists,estdists
0.5,2.0,4,4
0.5,14.0,8,10
0.5,8.0,6,6
0.5,15.0,6,8
0.5,4.0,4,4
0.5,13.0,6,8
0.5,8.0,4,4
0.5,3.0,2,2
0.5,6.0,4,4
0.5,1.0,2,2
0.5,14.0,6,6
0.5,7.0,4,6
0.5,12.0,6,6
0.5,6.0,4,4
0.5,8.0,6,6
0.5,0.0,0,0
0.5,0.0,0,0
0.5,3.0,2,2
0.5,0.0,0,0
0.5,7.0,6,6
0.5,14.0,6,6
0.5,3.0,2,2
0.5,11.0,6,6
0.5,0.0,0,0
0.5,15.0,6,8
0.5,15.0,6,6
0.5,5.0,4,4
0.5,3.0,2,2
0.5,3.0,4,4
0.5,6.0,2,2
0.5,6.0,4,4
0.5,7.0,2,2
0.5,9.0,4,4
0.5,14.0,6,8
0.5,10.0,4,4
0.5,4.0,2,2
0.5,2.0,2,2
0.5,1.0,2,2
0.5,5.0,4,4
0.5,3.0,2,2
0.5,5.0,6,6
0.5,5.0,6,6
0.5,9.0,4,4
0.5,8.0,4,4
0.5,7.0,2,2
0.5,12.0,6,6
0.5,3.0,2,2
0.5,12.0,6,6
0.5,7.0,4,4
0.5,10.0,10,10
0.5,8.0,6,6
0.5,7.0,4,4
0.5,8.0,4,4
0.5,3.0,4,4
0.5,2.0,2,2
0.5,3.0,2,2
0.5,0.0,0,0
0.5,0.0,0,0
0.5,7.0,6,6
0.5,7.0,4,4
0.5,8.0,6,8
0.5,2.0,4,4
0.5,2.0,2,2
0.5,7.0,6,10
0.5,15.0,6,6
0.5,9.0,6,6
0.5,9.0,6,6
0.5,12.0,6,6
0.5,7.0,4,4
0.5,13.0,8,8
0.5,0.0,0,0
0.5,10.0,6,6
0.5,8.0,6,6
0.5,5.0,4,4
0.5,13.0,6,10
0.5,15.0,8,12
0.5,2.0,2,2
0.5,5.0,4,4
0.5,4.0,2,2
0.5,6.0,4,4
0.5,8.0,4,6
0.5,5.0,6,6
0.5,9.0,4,4
0.5,3.0,2,2
0.5,7.0,2,2
0.5,5.0,2,4
0.5,9.0,6,6
0.5,8.0,6,8
0.5,5.0,2,2
0.5,5.0,4,4
0.5,2.0,4,4
0.5,12.0,6,10
0.5,4.0,2,6
0.5,11.0,6,6
0.5,3.0,2,2
0.5,4.0,4,4
0.5,6.0,4,4
0.5,6.0,4,4
0.5,10.0,4,4
0.5,9.0,4,4
0.5,1.0,2,2
0.5,1.0,2,2
0.5,9.0,6,10
0.5,11.0,6,8
0.5,11.0,8,8
0.5,3.0,2,2
0.5,3.0,2,2
0.5,7.0,6,6
0.5,10.0,4,4
0.5,0.0,0,0
0.5,5.0,4,4
0.5,0.0,0,0
0.5,2.0,2,2
0.5,12.0,6,8
0.5,6.0,4,4
0.5,10.0,4,4
0.5,7.0,2,4
0.5,11.0,6,6
0.5,0.0,0,0
0.5,4.0,2,2
0.5,4.0,4,4
0.5,9.0,6,6
0.5,7.0,4,8
0.5,9.0,4,4
0.5,13.0,6,8
0.5,8.0,6,6
0.5,3.0,4,4
0.5,6.0,4,4
0.5,10.0,6,6
0.5,9.0,6,6
0.5,1.0,2,2
0.5,8.0,4,4
0.5,2.0,4,4
0.5,8.0,6,6
0.5,17.0,8,10
0.5,7.0,4,4
0.5,14.0,12,12
0.5,2.0,2,2
0.5,7.0,6,6
0.5,10.0,6,6
0.5,8.0,4,4
0.5,8.0,8,12
0.5,0.0,0,0
0.5,2.0,4,4
0.5,7.0,4,4
0.5,3.0,2,2
0.5,2.0,2,2
0.5,9.0,8,8
0.5,0.0,0,0
0.5,3.0,2,2
0.5,2.0,2,2
0.5,7.0,4,4
0.5,7.0,4,4
0.5,6.0,4,4
0.5,2.0,2,2
0.5,6.0,2,2
0.5,3.0,2,2
0.5,1.0,2,2
0.5,4.0,2,2
0.5,7.0,4,4
0.5,8.0,4,4
0.5,7.0,4,4
0.5,6.0,4,4
0.5,6.0,4,4
0.5,2.0,2,2
0.5,11.0,6,6
0.5,7.0,4,4
0.5,3.0,2,2
0.5,0.0,0,0
0.5,4.0,2,2
0.5,6.0,4,4
0.5,6.0,6,6
0.5,6.0,2,2
0.5,15.0,8,8
0.5,7.0,4,8
0.5,6.0,6,6
0.5,13.0,6,6
0.5,16.0,8,10
0.5,7.0,4,8
0.5,10.0,6,6
0.5,2.0,2,2
0.5,6.0,4,4
0.5,3.0,2,2
0.5,7.0,4,4
0.5,7.0,2,2
0.5,7.0,4,4
0.5,9.0,8,12
0.5,0.0,0,0
0.5,7.0,8,8
0.5,14.0,6,6
0.5,7.0,8,8
0.5,11.0,8,8
0.5,9.0,4,4
0.5,4.0,2,2
0.5,0.0,0,0
0.5,2.0,2,2
0.5,7.0,6,6
0.5,7.0,6,6
0.5,13.0,8,8
0.5,5.0,4,4
0.5,15.0,10,10
0.5,9.0,4,6
0.5,7.0,4,4
0.5,11.0,6,6
0.5,11.0,6,6
0.5,0.0,0,0
0.5,0.0,0,0
0.5,14.0,10,10
0.5,5.0,4,4
0.5,7.0,6,6
0.5,1.0,2,2
0.5,9.0,4,4
0.5,1.0,2,2
0.5,14.0,8,8
0.5,5.0,4,4
0.5,3.0,2,2
0.5,5.0,4,4
0.5,6.0,4,4
0.5,3.0,2,2
0.5,8.0,4,4
0.5,4.0,2,2
0.5,7.0,6,6
0.5,10.0,4,4
0.5,5.0,4,4
0.5,7.0,2,2
0.5,1.0,2,2
0.5,6.0,6,6
0.5,12.0,6,6
0.5,3.0,2,2
0.5,10.0,4,4
0.5,11.0,6,6
0.5,14.0,8,8
0.5,0.0,0,0
0.5,6.0,4,4
0.5,7.0,6,6
0.5,8.0,4,4
0.5,11.0,8,8
0.5,9.0,6,6
0.5,5.0,4,4
0.5,5.0,4,4
0.5,4.0,4,4
0.5,16.0,8,8
0.5,6.0,4,4
0.5,14.0,10,12
0.5,9.0,6,6
0.5,8.0,6,6
0.5,5.0,4,4
0.5,10.0,10,14
0.5,10.0,4,4
0.5,3.0,2,2
0.5,8.0,4,6
0.5,3.0,4,4
0.5,13.0,6,6
0.5,10.0,6,6
0.5,2.0,4,4
0.5,12.0,8,8
0.5,7.0,4,4
0.5,10.0,6,6
0.5,9.0,4,4
0.5,4.0,4,4
0.5,7.0,6,6
0.5,9.0,6,6
0.5,4.0,2,2
0.5,8.0,6,6
0.5,6.0,4,4
0.5,4.0,2,2
0.5,7.0,4,4
0.5,5.0,4,4
0.5,2.0,2,2
0.5,13.0,6,6
0.5,4.0,2,2
0.5,9.0,4,4
0.5,3.0,4,4
0.5,8.0,4,4
0.5,12.0,8,8
0.5,11.0,8,8
0.5,5.0,2,2
0.5,8.0,6,6
0.5,11.0,8,8
0.5,1.0,2,2
0.5,15.0,8,10
0.5,12.0,6,6
0.5,4.0,4,4
0.5,9.0,8,8
0.5,11.0,4,4
0.5,13.0,6,6
0.5,9.0,4,4
0.5,0.0,0,0
0.5,3.0,4,4
0.5,6.0,4,4
0.5,11.0,8,8
0.5,3.0,2,2
0.5,13.0,6,6
0.5,3.0,4,4
0.5,8.0,4,4
0.5,11.0,8,8
0.5,4.0,4,4
0.5,8.0,4,4
0.5,9.0,4,4
0.5,0.0,0,0
0.5,9.0,6,6
0.5,0.0,0,0
0.5,5.0,4,8
0.5,13.0,6,6
0.5,1.0,2,2
0.5,6.0,6,6
0.5,13.0,8,10
0.5,9.0,4,4
0.5,10.0,6,6
0.5,10.0,6,8
0.5,5.0,4,4
0.5,1.0,2,2
0.5,5.0,4,4
0.5,9.0,6,6
0.5,0.0,0,0
0.5,5.0,4,4
0.5,8.0,4,4
0.5,11.0,8,8
0.5,13.0,6,6
0.5,3.0,2,2
0.5,11.0,8,8
0.5,13.0,6,6
0.5,0.0,0,0
0.5,5.0,2,2
0.5,13.0,6,10
0.5,6.0,4,4
0.5,9.0,6,6
0.5,15.0,8,8
0.5,4.0,4,4
0.5,6.0,6,6
0.5,7.0,4,4
0.5,2.0,2,2
0.5,2.0,2,2
0.5,8.0,4,4
0.5,3.0,2,2
0.5,6.0,4,4
0.5,3.0,2,2
0.5,4.0,2,2
0.5,2.0,2,2
0.5,6.0,4,4
0.5,3.0,2,2
0.5,6.0,4,4
0.5,5.0,4,4
0.5,6.0,4,4
0.5,6.0,4,4
0.5,7.0,6,6
0.5,3.0,2,2
0.5,5.0,4,4
0.5,11.0,10,10
0.5,2.0,2,2
0.5,3.0,2,2
0.5,11.0,4,4
0.5,11.0,6,6
0.5,8.0,6,8
0.5,14.0,6,6
0.5,13.0,6,6
0.5,12.0,6,6
0.5,3.0,4,4
0.5,4.0,4,4
0.5,14.0,6,10
0.5,3.0,2,2
0.5,3.0,2,2
0.5,10.0,6,6
0.5,15.0,8,14
0.5,7.0,4,4
0.5,4.0,4,4
0.5,3.0,2,2
0.5,12.0,6,6
0.5,14.0,8,8
0.5,0.0,0,0
0.5,9.0,4,4
0.5,2.0,4,4
0.5,7.0,2,4
0.5,9.0,4,4
0.5,9.0,6,6
0.5,0.0,0,0
0.5,5.0,4,4
0.5,5.0,4,4
0.5,10.0,6,6
0.5,4.0,2,2
0.5,3.0,2,2
0.5,7.0,2,2
0.5,3.0,4,4
0.5,16.0,8,8
0.5,5.0,6,6
0.5,0.0,0,0
0.5,7.0,4,4
0.5,11.0,6,6
0.5,9.0,4,4
0.5,11.0,4,4
0.5,3.0,4,4
0.5,7.0,6,6
0.5,6.0,4,4
0.5,11.0,6,10
0.5,6.0,4,4
0.5,9.0,6,6
0.5,6.0,4,8
0.5,7.0,2,2
0.5,0.0,0,0
0.5,15.0,10,10
0.5,2.0,2,2
0.5,14.0,8,8
0.5,10.0,8,8
0.5,3.0,4,4
0.5,8.0,6,6
0.5,6.0,6,10
0.5,2.0,2,2
0.5,0.0,0,0
0.5,9.0,6,6
0.5,6.0,4,4
0.5,3.0,2,2
0.5,9.0,4,4
0.5,13.0,8,8
0.5,8.0,6,6
0.5,10.0,6,6
0.5,12.0,6,6
0.5,7.0,4,4
0.5,10.0,4,4
0.5,7.0,6,8
0.5,8.0,4,4
0.5,9.0,4,4
0.5,5.0,4,4
0.5,4.0,6,6
0.5,4.0,2,2
0.5,5.0,2,2
0.5,8.0,6,6
0.5,6.0,4,4
0.5,7.0,4,8
0.5,0.0,0,0
0.5,9.0,4,4
0.5,5.0,4,4
0.5,8.0,4,4
0.5,16.0,8,10
0.5,8.0,6,6
0.5,5.0,4,4
0.5,3.0,2,2
0.5,14.0,10,10
0.5,6.0,8,8
0.5,0.0,0,0
0.5,2.0,2,2
0.5,13.0,6,6
0.5,5.0,2,2
0.5,2.0,2,2
0.5,3.0,2,2
0.5,5.0,4,4
0.5,14.0,8,8
0.5,9.0,6,6
0.5,6.0,6,6
0.5,8.0,8,8
0.5,7.0,6,6
0.5,11.0,4,4
0.5,0.0,0,0
0.5,8.0,6,6
0.5,5.0,4,4
0.5,8.0,4,4
0.5,7.0,4,4
0.5,0.0,0,0
0.5,13.0,8,12
0.5,6.0,4,4
0.5,0.0,0,0
0.5,2.0,2,2
0.5,10.0,6,6
0.5,2.0,2,2
0.5,9.0,4,4
0.5,6.0,4,4
0.5,7.0,6,6
0.5,3.0,2,2
0.5,2.0,2,2
0.5,0.0,0,0
0.5,8.0,4,4
0.5,14.0,6,8
0.5,5.0,4,4
0.5,13.0,6,8
0.5,14.0,8,8
0.5,0.0,0,0
0.5,14.0,8,10
0.5,7.0,6,6
0.5,1.0,2,2
0.5,3.0,4,4
0.5,8.0,4,6
0.5,13.0,6,8
0.5,3.0,2,2
0.5,16.0,10,10
0.5,4.0,4,4
0.5,7.0,4,4
0.5,11.0,6,6
0.5,9.0,6,6
0.5,6.0,4,4
0.5,0.0,0,0
0.5,2.0,2,2
0.5,11.0,6,6
0.5,5.0,6,6
0.5,10.0,6,6
0.5,4.0,4,4
0.5,9.0,4,8
0.5,6.0,2,2
0.5,5.0,4,4
0.5,0.0,0,0
0.5,12.0,8,10
0.5,9.0,4,4
0.5,13.0,6,10
0.5,10.0,4,4
0.5,3.0,2,2
0.5,7.0,6,6
0.5,4.0,2,2
0.5,8.0,4,4
0.5,4.0,4,4
0.5,9.0,6,6
0.5,14.0,8,8
0.5,12.0,6,6
0.5,8.0,4,4
0.5,11.0,6,6
0.5,1.0,2,2
0.5,4.0,2,2
0.5,18.0,8,8
0.5,9.0,8,8
0.5,12.0,6,6
0.5,1.0,2,2
0.5,5.0,4,4
0.5,5.0,4,4
0.5,5.0,4,4
0.5,8.0,4,4
0.5,10.0,4,4
0.5,2.0,2,2
0.5,5.0,4,4
0.5,4.0,4,4
0.5,8.0,6,6
0.5,0.0,0,0
0.5,3.0,2,2
0.5,13.0,8,8
0.5,7.0,6,6
0.5,4.0,2,2
0.5,0.0,0,0
0.5,8.0,8,8
0.5,3.0,2,2
0.5,2.0,4,4
0.5,6.0,4,4
0.5,4.0,6,6
0.5,10.0,4,6
0.5,10.0,6,8
0.5,7.0,4,4
0.5,8.0,6,6
0.5,0.0,0,0
0.5,3.0,2,2
0.5,4.0,4,4
0.5,6.0,4,4
0.5,4.0,4,4
0.5,11.0,4,4
0.5,2.0,2,2
0.5,6.0,4,4
0.5,9.0,4,6
0.5,1.0,2,2
0.5,0.0,0,0
0.5,9.0,4,4
0.5,9.0,6,8
0.5,3.0,2,2
0.5,2.0,2,2
0.5,6.0,4,4
0.5,5.0,4,4
0.5,18.0,8,8
0.5,0.0,0,0
0.5,10.0,8,8
0.5,9.0,4,4
0.5,9.0,4,4
0.5,5.0,2,2
0.5,8.0,4,4
0.5,3.0,2,2
0.5,14.0,6,6
0.5,8.0,6,6
0.5,4.0,4,4
0.5,6.0,2,2
0.5,11.0,6,6
0.5,0.0,0,0
0.5,12.0,6,6
0.5,5.0,4,4
0.5,7.0,4,4
0.5,9.0,8,8
0.5,0.0,0,0
0.5,7.0,6,6
0.5,5.0,4,4
0.5,1.0,2,2
0.5,12.0,8,8
0.5,15.0,8,10
0.5,9.0,8,8
0.5,3.0,2,2
0.5,3.0,2,2
0.5,7.0,4,4
0.5,9.0,6,6
0.5,4.0,4,4
0.5,2.0,2,2
0.5,8.0,4,4
0.5,6.0,4,4
0.5,4.0,4,4
0.5,5.0,2,2
0.5,3.0,2,2
0.5,11.0,6,6
0.5,14.0,6,6
0.5,4.0,2,2
0.5,8.0,4,4
0.5,7.0,8,8
0.5,7.0,6,6
0.5,11.0,6,6
0.5,10.0,4,4
0.5,3.0,2,2
0.5,8.0,4,4
0.5,15.0,6,10
0.5,4.0,2,2
0.5,5.0,4,4
0.5,9.0,6,6
0.5,11.0,6,6
0.5,6.0,4,4
0.5,5.0,4,4
0.5,11.0,4,4
0.5,9.0,6,6
0.5,3.0,2,2
0.5,0.0,0,0
0.5,7.0,4,4
0.5,8.0,4,6
0.5,6.0,4,4
0.5,9.0,8,10
0.5,4.0,2,2
0.5,8.0,6,6
0.5,12.0,8,8
0.5,0.0,0,0
0.5,16.0,8,8
0.5,0.0,0,0
0.5,4.0,4,4
0.5,10.0,6,6
0.5,0.0,0,0
0.5,0.0,0,0
0.5,14.0,8,10
0.5,6.0,2,2
0.5,10.0,6,10
0.5,4.0,4,4
0.5,9.0,8,8
0.5,7.0,4,4
0.5,3.0,2,2
0.5,11.0,6,8
0.5,9.0,4,4
0.5,11.0,4,4
0.5,7.0,4,8
0.5,3.0,2,2
0.5,13.0,8,10
0.5,0.0,0,0
0.5,7.0,2,4
0.5,10.0,10,10
0.5,6.0,6,6
0.5,6.0,4,4
0.5,8.0,8,8
0.5,10.0,4,6
0.5,1.0,2,2
0.5,4.0,4,4
0.5,10.0,6,8
0.5,5.0,4,4
0.5,10.0,4,4
0.5,8.0,6,6
0.5,9.0,8,8
0.5,9.0,4,4
0.5,7.0,4,4
0.5,2.0,2,2
0.5,10.0,6,6
0.5,11.0,6,6
0.5,6.0,4,4
0.5,17.0,8,8
0.5,3.0,2,2
0.5,12.0,6,6
0.5,9.0,6,6
0.5,11.0,4,6
0.5,5.0,4,4
0.5,9.0,6,6
0.5,11.0,6,6
0.5,14.0,8,8
0.5,14.0,6,10
0.5,10.0,4,4
0.5,8.0,6,6
0.5,12.0,8,8
0.5,10.0,6,6
0.5,4.0,2,2
0.5,10.0,4,6
0.5,4.0,2,2
0.5,6.0,4,4
0.5,0.0,0,0
0.5,2.0,2,2
0.5,9.0,6,8
0.5,7.0,4,6
0.5,0.0,0,0
0.5,3.0,4,4
0.5,2.0,2,2
0.5,11.0,6,6
0.5,6.0,4,4
0.5,5.0,2,2
0.5,4.0,2,2
0.5,2.0,2,2
0.5,1.0,2,2
0.5,11.0,4,4
0.5,5.0,2,2
0.5,11.0,6,6
0.5,9.0,6,6
0.5,8.0,4,4
0.5,8.0,4,4
0.5,14.0,6,6
0.5,3.0,2,2
0.5,16.0,10,10
0.5,3.0,4,4
0.5,10.0,4,4
0.5,15.0,8,8
0.5,9.0,4,6
0.5,10.0,4,4
0.5,11.0,6,6
0.5,3.0,4,4
0.5,7.0,4,4
0.5,11.0,4,6
0.5,0.0,0,0
0.5,6.0,4,4
0.5,6.0,2,2
0.5,7.0,2,2
0.5,5.0,4,4
0.5,10.0,6,8
0.5,9.0,6,10
0.5,14.0,6,10
0.5,10.0,6,6
0.5,2.0,2,2
0.5,6.0,4,4
0.5,3.0,2,2
0.5,3.0,2,2
0.5,8.0,4,4
0.5,0.0,0,0
0.5,4.0,2,2
0.5,5.0,4,4
0.5,3.0,2,2
0.5,5.0,2,2
0.5,6.0,2,2
0.5,4.0,4,4
0.5,7.0,4,4
0.5,9.0,6,6
0.5,13.0,6,8
0.5,0.0,0,0
0.5,11.0,6,6
0.5,7.0,4,4
0.5,0.0,0,0
0.5,5.0,4,4
0.5,6.0,6,6
0.5,3.0,2,2
0.5,2.0,2,2
0.5,6.0,2,2
0.5,5.0,4,4
0.5,5.0,4,4
0.5,4.0,2,2
0.5,11.0,6,8
0.5,6.0,4,4
0.5,9.0,6,6
0.5,9.0,4,4
0.5,13.0,6,6
0.5,4.0,4,4
0.5,12.0,6,6
0.5,9.0,4,4
0.5,8.0,4,4
0.5,8.0,4,4
0.5,11.0,6,6
0.5,10.0,6,6
0.5,9.0,4,4
0.5,3.0,2,2
0.5,9.0,4,6
0.5,6.0,4,4
0.5,7.0,2,2
0.5,12.0,8,8
0.5,6.0,2,2
0.5,5.0,2,2
0.5,7.0,4,4
0.5,11.0,6,8
0.5,3.0,2,2
0.5,9.0,6,6
0.5,5.0,4,4
0.5,9.0,4,4
0.5,12.0,6,8
0.5,12.0,6,6
0.5,15.0,8,8
0.5,5.0,2,2
0.5,7.0,6,6
0.5,5.0,4,4
0.5,5.0,4,4
0.5,11.0,4,4
0.5,13.0,10,10
0.5,12.0,6,6
0.5,16.0,10,10
0.5,6.0,6,6
0.5,9.0,6,6
0.5,8.0,6,6
0.5,2.0,2,2
0.5,14.0,8,8
0.5,6.0,2,2
0.5,8.0,6,6
0.5,9.0,6,6
0.5,6.0,4,4
0.5,9.0,4,4
0.5,3.0,2,2
0.5,7.0,8,8
0.5,1.0,2,2
0.5,2.0,4,4
0.5,8.0,8,8
0.5,12.0,4,8
0.5,6.0,4,4
0.5,4.0,4,4
0.5,0.0,0,0
0.5,8.0,6,6
0.5,15.0,8,8
0.5,7.0,4,4
0.5,1.0,2,2
0.5,5.0,4,4
0.5,4.0,4,4
0.5,11.0,8,12
0.5,3.0,2,2
0.5,6.0,4,4
0.5,7.0,2,2
0.5,3.0,2,2
0.5,3.0,2,2
0.5,5.0,2,2
0.5,11.0,8,8
0.5,7.0,4,4
0.5,9.0,6,6
0.5,4.0,4,4
0.5,7.0,4,4
0.5,10.0,6,6
0.5,10.0,4,4
0.5,5.0,4,4
0.5,7.0,6,6
0.5,1.0,2,2
0.5,3.0,2,2
0.5,9.0,6,6
0.5,8.0,6,6
0.5,13.0,6,6
0.5,11.0,4,4
0.5,1.0,2,2
0.5,2.0,2,2
0.5,13.0,8,8
0.5,9.0,8,10
0.5,13.0,8,8
0.5,11.0,6,6
0.5,3.0,2,2
0.5,0.0,0,0
0.5,0.0,0,0
0.5,6.0,2,2
0.5,5.0,4,4
0.5,6.0,4,4
0.5,6.0,4,4
0.5,12.0,8,8
0.5,5.0,6,6
0.5,5.0,4,4
0.5,6.0,4,4
0.5,5.0,4,4
0.5,4.0,2,2
0.5,7.0,6,6
0.5,14.0,8,8
0.5,8.0,4,4
0.5,8.0,6,6
0.5,8.0,6,6
0.5,17.0,8,8
0.5,10.0,6,8
0.5,3.0,2,2
0.5,0.0,0,0
0.5,3.0,2,2
0.5,10.0,8,12
0.5,11.0,6,6
0.5,0.0,0,0
0.5,4.0,4,4
0.5,4.0,2,2
0.5,4.0,2,2
0.5,8.0,4,6
0.5,5.0,4,4
0.5,3.0,4,4
0.5,9.0,4,4
0.5,12.0,4,4
0.5,6.0,4,4
0.5,3.0,2,2
0.5,4.0,4,4
0.5,9.0,6,6
0.5,5.0,4,4
0.5,8.0,6,6
0.5,0.0,0,0
0.5,7.0,2,2
0.5,1.0,2,2
0.5,0.0,0,0
0.5,6.0,6,6
0.5,15.0,6,8
0.5,7.0,4,4
0.5,9.0,4,4
0.5,5.0,4,4
0.5,7.0,8,8
0.5,8.0,4,4
0.5,5.0,4,4
0.5,6.0,4,4
0.5,5.0,4,4
0.5,10.0,4,6
0.5,8.0,6,6
0.5,7.0,4,4
0.5,3.0,2,2
0.5,10.0,6,6
0.5,9.0,6,6
